Name,Address,Phone number 1,Phone number 2,Hours,Serves,Specific Information
The Violence Recovery Program at Fenway Community Health Center (Boston),,617-927-6250,Toll Free: 1-800-834-3242 *After 5 pm on weekends: 877-785-2020,,"Lesbian, gGay, Bisexual, Transgender and Queer clients.","For nearly 30 years, the Fenway Community Health Center has provided high quality medical and mental health care to Boston's lesbian, gay, bisexual, and transgender community. The Violence Recovery Program (VRP) provides counseling, support groups, advocacy, and referral services to Gay, Lesbian, Bisexual and Transgender victims of domestic violence"
Transition House (Cambridge),"1035 Cambridge Street, B10, Cambridge, MA 02141",Hotline: 617-661-7203,,,Families,"Offers emergency food and shelter, counseling, economic literacy programs, Haitian services, and outreach programs. MBTA accessible"
Cardinal Medieros Center Our Lady of Victories Church,"27 Isabella Street, Boston, MA 021168",617-451-9331,,9am-4pm Mon.-Thurs. 9am-3pm Fri. Lunch 11:45am-1pm,Adult Shelters: Drop-In Day,For men and women 45 & over
St. Francis House,"39 Boylston Street, Boston, MA 02116",617-542-4211,,7am-3pm Daily Breakfast 7:30am-9am Lunch 11:30n-1pm Sandwiches served 1-2pm,Adult Shelters: Drop-In Day,
"Women's Lunch Place Church of the Covenant
","67 Newbury Street, Boston, MA 02116",617-267-1722,,8am-2pm Mon.-Sat. Call about Sunday Breakfast 8am-11am Lunch 12noon-2pm,Adult Shelters: Drop-In Day For women and children only,
Boston Rescue Mission/Kingston House,"39 Kingston Street, Boston, MA 02111",617-482-8819,,,Adult Shelters: Men & Women,
South End Fitness Center (temporary shelter)​,"35 Northampton Street, Boston, MA, 02118",617-534-6100,,,Adult Shelters: Men,
Pine Street Inn,"444 Harrison Avenue, Boston, MA 02118",617-521-7202,,,Adult Shelters: Men & Women,
Shattuck Shelter (Pine Street Inn),"170 Morton Street, Jamaica Plain, MA 02130",617-892-7917,,,Adult Shelters: Men & Women,
Woods Mullen Shelter,"784 Massachusetts Avenue, Boston, MA 02118",617-534-7101,,,Adult Shelters: Men & Women,
Pine Street Inn- Men's Inn,"444 Harrison Avenue, Boston, MA 02118",617-892-9207,,,Adult Shelters: Men Only,
Pine Street Inn- Women's Inn,"363 Albany Street, Boston, MA 02118
",617-892-9321,,,Adult Shelters: Women Only,
Rosie Place,"889 Harrison Avenue, Boston, MA 02118",617-442-9322,,,Adult Shelters: Women Only,
Sancta Maria,"11 Waltham Street, Boston, MA 02118",617-423-4366,,(After 7:00 PM),Adult Shelters: Women Only,
Boston Family Shelter,"656 Massachusetts Avenue, Boston, MA 02118",617-267-8081,,,Family Shelters,
Casa Nueva Vida,"53 Glen Road, Jamaica Plain, MA 02130",617-524-6332,,,Family Shelters,
Crittenton Hastings House,"10 Perthshire Road, Brighton, MA 02135",617-782-7600,,,"Family Shelters, Females.",
Crossroads Family Shelter,"56 Havre Street, East Boston, MA 02128",617-567-5926,,,Family Shelters,
DHCD Boston Family Housing Office,"90 Washington Street, Dorchester, MA 02124",617-989-6100,,,Family Shelters,Massachusetts Housing and Community Development
DTA Boston Newmarket Square,"1010 Massachusetts Avenue, Boston",617-989-2200,,,Family Shelters,Massachusetts Housing and Community Development
Project Hope,"550 Dudley Street, Roxbury, MA 02119",617-442-1880,,,Family Shelters,Adult men not permitted. www.prohope.org
Queens of Peace,"410 Quincy Street, Dorchester, MA 02125",617-288-4182,,No intake on Thursday or Sunday.,Family Shelters,No male children over 3 years old and no mothers under age 18. No intake on Thursday or Sunday.
Sojourner House,"85 Rockland Street, Roxbury, MA 02119",617-442-0590,,,Family Shelters,
Temporary Home for Women & Children,"41 New Chardon Street, Boston, MA 02114",617-720-3611,,,Family Shelters,Adult men not permitted.
Family Aid Boston (formerly Traveler's Aid Family Services),,617-542-7286,,After 5pm call the Mayor's 24 hr Svc and they will page TA.,Family Shelters,Family Emergency Solutions Program
Shattuck Shelter of Pine Street Inn,"170 Morton Street, Jamaica Plain, MA 02130",617-971-3229,,,Adult Shelters: Men & Women,
Pine Street Inn- Men's Inn,"444 Harrison Avenue, Boston, MA 02118",617-521-7202,,,Adult Shelters: Men Only,
Pilgrim Church Shelter Children’s Services of Roxbury,"540 Columbia Road, Dorchester, MA 02125",617-265-4515,,,Adult Shelters: Men Only,
Pine Street Inn- Women's Inn,"363 Albany Street, Boston, MA 02118",617-892-9321,,,Adult Shelters: Women Only,
Rosie's Place,"889 Harrison Avenue, Boston, MA 02118",617-442-9322,,,Adult Shelters: Women Only,
Sancta Maria,"11 Waltham Street, Boston, MA 02118",617-423-4366,,(After 7:00 PM),Adult Shelters: Women Only,
"Medieros Center, Our Lady of Victories Church","27 Isabella Street, Boston, MA 02116",617-619-6960,,"9am-4pm Mon.-Thurs. 9am-3pm Fri., Lunch 11:45am-1pm",For men and women 45 & over,
St. Francis House,"39 Boylston Street, Boston, MA 02116
",617-542-4211,,7am-3pm Daily Breakfast 7:30am-9am Lunch 11:30n-1pm Sandwiches served 1-2pm,Adult Shelter,
"Women's Lunch Place, Church of the Covenant","67 Newbury Street, Boston, MA 02116",617-267-1722,,"8am-2pm Mon.-Sat. Call about Sunday, Breakfast 8am-11am, Lunch 12noon-2pm",For women and children only,
Boston Family Shelter,"656 Massachusetts Avenue, Boston, MA 02118",617-267-8081,,,Family,
Casa Nueva Vida,"53 Glen Road, Jamaica Plain, MA 02130",617-524-6332,,,Family,
Crittenton Women's Union,"10 Perthshire Road, Brighton, MA 02135",617-782-7600,,,"Female Head of Households, Families with Children",
Crossroads Family Shelter,"56 Havre Street, East Boston, MA 02128",617-567-5926,,,Family,
DHCD Boston Family Housing Office,"90 Washington Street, Dorchester, MA 02124",617-989-6100,,,Family,Massachusetts Housing and Community Development
DTA Boston Newmarket Square,"1010 Massachusetts Avenue, Boston",617-989-2200,,,Family,Massachusetts Department of Transitional Assistance
Project Hope,"550 Dudley Street, Roxbury, MA 02119",617-442-1880,,,Family,Adult men not permitted. www.prohope.org
